Ticker,Tier,Price,P/E,Sector,Z-Score,ROIC %,Op Margin %,Avg Margin (4Y),Curr Ratio,Int Cov,Mkt Cap (B),Beta
URBN,Fortress,70.52,13.36,Consumer Cyclical,4.34,14.7,9.57,7.39,1.509,83.41,6.33,1.21
TOL,Fortress,161.47,11.98,Consumer Cyclical,4.26,15.08,17.67,16.61,4.108,,15.34,1.47
GD,Fortress,346.34,22.39,Industrials,4.25,13.61,10.14,10.24,1.444,13.69,93.65,0.4
LEN,Fortress,120.99,15.16,Consumer Cyclical,4.24,8.43,7.69,14.44,5.823,100.0,29.88,1.46
TPR,Fortress,154.67,60.18,Consumer Cyclical,4.24,6.0,28.76,17.6,1.626,3.53,31.65,1.61
MAS,Fortress,76.48,19.81,Industrials,4.22,34.07,14.78,16.58,1.805,12.24,16.01,1.28
EOG,Fortress,118.22,11.73,Energy,4.2,19.98,33.22,40.18,1.624,60.55,64.55,0.47
HOLX,Fortress,75.09,31.16,Healthcare,4.17,9.93,22.99,23.67,4.04,6.82,16.76,0.73
NVT,Fortress,112.75,43.37,Industrials,4.16,9.02,15.36,15.69,1.634,5.05,18.19,1.31
DRS,Fortress,37.87,38.25,Industrials,4.15,9.29,9.79,11.57,2.002,13.57,10.08,0.27
DHT,Fortress,15.48,11.82,Energy,4.12,15.43,47.41,18.35,2.796,6.99,2.49,-0.08
B,Fortress,47.64,16.26,Basic Materials,4.1,19.24,52.58,33.23,2.922,20.7,79.81,0.98
BAH,Fortress,79.79,11.84,Industrials,4.04,25.78,9.73,8.49,1.807,7.42,9.83,0.35
RPM,Fortress,119.26,22.98,Basic Materials,4.04,14.1,11.55,11.25,2.219,9.21,15.29,1.1
AEO,Fortress,23.84,21.1,Consumer Cyclical,3.99,15.09,8.26,8.18,1.634,,4.04,1.38
IR,Fortress,96.75,71.67,Industrials,3.97,8.31,20.48,16.28,2.162,6.31,38.45,1.31
OPCH,Fortress,34.67,27.52,Healthcare,3.92,12.59,5.89,6.35,1.557,6.78,5.63,0.84
PCAR,Fortress,129.48,28.71,Industrials,3.88,16.07,8.83,13.51,1.701,100.0,68.03,1.04
COO,Fortress,83.05,44.41,Healthcare,3.85,5.91,13.54,16.25,1.893,6.66,16.51,1.03
KBH,Fortress,63.92,10.39,Consumer Cyclical,3.82,9.03,8.35,11.66,6.618,100.0,4.14,1.49
NEM,Fortress,124.6,19.38,Basic Materials,3.82,10.15,46.85,16.86,2.039,13.21,136.87,0.44
BHP,Fortress,75.13,21.16,Basic Materials,3.76,21.71,37.7,42.42,1.46,10.79,193.0,0.68
STNG,Fortress,69.89,11.67,Energy,3.76,21.15,34.24,34.37,4.806,8.29,3.62,-0.29
TTD,Fortress,27.23,30.94,Communication Services,3.72,13.19,21.8,11.35,1.71,100.0,13.31,1.09
CNM,Fortress,57.84,25.37,Industrials,3.69,14.37,10.67,10.21,2.265,5.06,11.42,0.98
HON,Fortress,242.7,32.06,Industrials,3.68,15.33,15.41,18.84,1.316,7.82,163.55,0.93
CRH,Fortress,127.83,25.51,Basic Materials,3.65,13.21,18.0,12.3,1.453,8.7,85.41,1.18
NXPI,Fortress,249.75,31.42,Technology,3.64,16.43,27.62,26.82,2.046,8.79,62.97,1.46
WLTH,Fortress,7.88,0.0,Technology,3.63,54.22,33.72,38.49,1.685,50.55,1.18,
SQM,Fortress,75.24,0.0,Basic Materials,3.57,12.53,24.44,36.54,2.823,6.18,21.49,1.02
BLDR,Fortress,126.94,24.09,Industrials,3.54,18.12,5.8,12.76,1.786,7.68,14.04,1.55
CROX,Fortress,82.73,28.73,Consumer Cyclical,3.53,25.05,20.84,26.13,1.404,9.33,4.52,1.55
