Ticker,Tier,Price,P/E,Sector,Z-Score,ROIC %,Op Margin %,Avg Margin (4Y),Curr Ratio,Int Cov,Mkt Cap (B),Beta
PGY,Risky,12.87,0.0,Technology,0.73,3.57,23.81,-14.51,14.26,100.0,1.03,5.88
SSP,Risky,3.64,0.0,Communication Services,0.7,8.91,7.52,15.92,1.611,2.0,0.32,0.59
SONY,Risky,22.95,17.52,Technology,0.67,6.16,13.74,10.67,1.219,37.05,136.86,0.7
VSAT,Risky,45.33,0.0,Technology,0.67,-0.9,2.75,-8.43,2.127,-0.29,6.16,1.45
KLAR,Risky,19.11,0.0,Technology,0.62,-2.66,11.3,-23.32,29.46,-0.26,7.21,
EVH,Risky,2.67,0.0,Healthcare,0.59,-2.09,0.14,-1.58,1.326,-1.55,0.31,0.24
BORR,Risky,5.73,20.46,Energy,0.58,11.36,35.44,9.66,1.626,1.7,1.76,1.05
MTCH,Risky,31.4,13.19,Communication Services,0.58,22.06,33.41,27.9,1.418,5.4,7.56,1.31
PRGO,Risky,14.6,0.0,Healthcare,0.57,1.24,8.97,7.62,2.514,0.57,2.01,0.4
STNE,Risky,17.67,0.0,Technology,0.56,0.18,52.34,40.05,1.426,0.04,4.73,1.79
CSAN,Risky,5.03,0.0,Energy,0.49,1.54,28.44,17.99,1.796,0.27,4.98,0.65
GDRX,Risky,2.23,27.88,Healthcare,0.48,6.67,7.46,1.68,3.11,1.59,0.77,1.5
PD,Risky,7.11,4.42,Technology,0.43,-6.29,7.7,-26.54,2.37,-5.3,0.66,0.67
XRAY,Risky,13.71,0.0,Healthcare,0.42,-20.82,5.09,9.07,1.475,-12.57,2.74,1.02
BB,Risky,3.49,87.25,Technology,0.41,1.52,13.12,-8.64,2.144,2.42,2.06,1.34
CALY,Risky,15.06,0.0,Consumer Cyclical,0.37,-18.24,3.16,6.28,1.871,-5.37,2.77,0.97
VISN,Risky,19.17,16.38,Technology,0.27,3.69,19.79,4.7,2.254,0.4,4.25,2.43
AQN,Risky,6.61,94.43,Utilities,0.26,3.66,25.07,18.76,1.227,1.46,5.08,0.83
GDS,Risky,46.48,66.4,Technology,0.24,2.03,12.55,9.45,2.513,0.68,9.31,0.37
HLIT,Risky,10.01,23.83,Technology,0.05,10.38,7.66,7.21,2.082,8.91,1.14,1.05
BHC,Risky,6.08,6.27,Healthcare,0.04,7.87,26.74,18.31,1.304,1.12,2.26,0.38
MDLN,Risky,45.04,65.28,Healthcare,0.0,0.0,8.07,26.62,3.659,100.0,37.48,
HE,Risky,16.59,7.65,Utilities,-0.04,-21.95,6.69,-5.73,1.347,-13.72,2.86,0.64
QDEL,Risky,28.8,0.0,Healthcare,-0.15,-35.82,6.67,23.55,1.78,-10.32,1.96,0.72
XERS,Risky,6.91,0.0,Healthcare,-0.35,-11.96,9.05,-87.49,1.928,-0.87,1.15,0.93
GOGO,Risky,3.92,0.0,Communication Services,-0.4,7.16,12.86,28.48,1.738,1.32,0.52,1.06
SNAP,Risky,4.99,0.0,Communication Services,-0.46,-5.15,2.9,-21.08,3.563,-2.7,8.43,0.8
BMBL,Risky,2.95,0.0,Communication Services,-0.55,-29.56,26.88,2.49,3.55,-17.66,0.47,1.96
RUN,Risky,19.16,0.0,Technology,-0.59,-19.04,0.5,-33.59,1.457,-4.17,4.45,2.38
BULL,Risky,6.24,0.0,Technology,-0.63,-1.92,20.59,6.62,1.33,-97.15,3.13,-0.1
APLS,Risky,22.31,61.97,Healthcare,-1.11,-22.35,48.67,-436.39,3.544,-3.87,2.82,0.24
PTCT,Risky,70.92,8.25,Healthcare,-1.13,-17.45,1.65,-47.0,2.318,-1.17,5.69,0.49
TVTX,Risky,30.22,0.0,Healthcare,-1.27,-78.63,15.12,-210.17,2.747,-27.66,2.7,0.81
PTON,Risky,4.32,0.0,Consumer Cyclical,-1.7,1.43,1.72,-24.67,1.983,0.14,1.84,2.44
BCRX,Risky,6.84,0.0,Healthcare,-2.36,3.5,18.57,-49.94,1.87,0.12,1.7,0.79
ZVRA,Risky,8.48,18.04,Healthcare,-2.94,-57.47,15.9,-191.8,8.621,-11.26,0.48,0.92
CERS,Risky,2.15,0.0,Healthcare,-4.49,-8.65,2.34,-20.79,1.89,-1.34,0.41,1.53
MNKD,Risky,5.74,57.4,Healthcare,-7.28,21.95,22.86,-27.65,3.288,1.8,1.76,0.76
CAI,Risky,21.5,0.0,Healthcare,-9.64,-130.03,15.05,-96.3,9.93,-4.63,6.07,
IMSR,Risky,7.41,0.0,Utilities,-11.67,-240.14,1997303.7,-39054.2,3.924,-7.73,0.61,
VIAV,Risky,26.9,0.0,Technology,-44.98,4.71,10.26,7.91,2.612,2.4,6.22,0.96
ASML,Risky,1435.63,48.83,Technology,,42.97,35.31,32.51,1.262,,557.24,1.46
ASX,Risky,23.74,42.39,Technology,,,9.94,9.34,1.284,,51.92,1.07
ATI,Risky,138.72,48.67,Industrials,,,12.57,9.69,2.663,,19.12,1.01
AXTA,Risky,33.58,19.3,Basic Materials,,,12.84,10.96,2.056,,7.16,1.29
BG,Risky,122.03,28.78,Consumer Defensive,,,1.3,3.84,1.612,,23.6,0.75
BTU,Risky,36.77,0.0,Energy,,,2.05,15.95,1.851,,4.47,0.5
CHRW,Risky,196.33,40.56,Industrials,,,5.05,4.13,1.528,,23.19,0.9
CLS,Risky,295.68,41.35,Technology,,,8.78,4.51,1.44,,34.11,1.5
COP,Risky,111.21,17.51,Energy,,,14.24,27.22,1.297,,137.42,0.29
DHR,Risky,219.98,43.73,Healthcare,,,22.17,24.05,1.874,,155.5,0.96
DOV,Risky,233.07,29.28,Industrials,,,16.45,15.99,1.79,,31.97,1.29
DVA,Risky,144.27,15.17,Healthcare,,,15.23,13.75,1.292,,9.64,1.01
ENPH,Risky,48.23,37.39,Technology,,,6.35,15.47,2.065,,6.31,1.37
ENTG,Risky,137.79,88.9,Technology,,,12.73,16.06,3.444,,20.89,1.32
EW,Risky,79.33,34.79,Healthcare,,,27.37,30.42,4.004,,46.57,0.94
FCX,Risky,65.46,43.07,Basic Materials,,,14.4,30.34,2.291,,94.0,1.43
FMC,Risky,16.05,0.0,Basic Materials,,,18.43,19.55,1.321,,2.0,0.67
G,Risky,37.18,11.88,Technology,,,14.82,13.53,1.658,,6.41,0.73
IAC,Risky,35.71,0.0,Communication Services,,,14.56,-4.12,2.754,,2.77,1.15
IP,Risky,49.19,0.0,Consumer Cyclical,,,1.86,5.62,1.279,,25.97,1.07
ITW,Risky,298.07,28.44,Industrials,,,26.51,24.94,1.21,,86.89,1.16
KO,Risky,78.6,25.86,Consumer Defensive,,,15.57,28.75,1.459,,338.27,
KT,Risky,23.39,16.71,Communication Services,,,7.48,5.94,1.237,,11.28,0.09
MNDY,Risky,73.09,32.63,Technology,,,0.71,-19.42,2.503,,3.77,1.25
NOV,Risky,19.47,49.92,Energy,,,7.12,4.67,2.419,,7.23,0.91
NUE,Risky,194.42,25.82,Basic Materials,,,6.87,19.62,2.938,,44.49,1.84
QGEN,Risky,51.06,25.03,Healthcare,,,25.38,22.22,3.896,,10.52,0.68
RES,Risky,5.74,38.27,Energy,,,0.56,10.06,3.244,,1.27,0.67
SHEL,Risky,80.23,13.37,Energy,,,9.81,11.33,1.3,,226.67,
SLGN,Risky,48.48,17.96,Consumer Cyclical,,,9.1,10.21,1.644,,5.19,0.72
STLD,Risky,205.78,25.79,Basic Materials,,,7.03,20.15,3.055,,30.29,1.45
SU,Risky,55.94,15.63,Energy,,,15.73,17.96,1.394,,67.66,0.75
SUZ,Risky,11.18,10.75,Basic Materials,,-5.8,16.86,34.86,3.196,-1.67,13.82,0.14
SYK,Risky,363.7,43.25,Healthcare,,,27.26,18.09,1.893,100.0,139.09,0.87
TMO,Risky,527.17,29.68,Healthcare,,,19.99,20.02,1.89,,198.06,0.95
TSCO,Risky,54.53,26.47,Consumer Cyclical,,,7.64,10.1,1.342,,28.81,0.73
TTMI,Risky,91.9,54.7,Technology,,,10.46,5.95,1.928,,9.5,1.75
UPS,Risky,120.0,18.29,Industrials,,,10.71,11.39,1.219,,101.81,1.09
